"SourceColumn","TargetTable","TargetColumn"
"performed_by","employees","id"
"client_id","clients","id"
"created_by_id","employees","id"
"do_id","delivery_orders","id"
"do_id","delivery_orders","id"
"user_id","users","id"
"manager_id","employees","id"
"expense_id","expenses","id"
"expense_id","expenses","id"
"expense_id","expenses","id"
"user_id","employees","id"
"hall_id","meeting_halls","id"
"employee_id","employees","id"
"delivery_order_id","delivery_orders","id"
"leave_type_id","leave_types","id"
"memo_id","memos","id"
"user_id","employees","id"
"order_id","delivery_orders","id"
"partner_id","partners","id"
"employee_id","employees","id"
"do_id","delivery_orders","id"
"collected_by","employees","id"
"po_id","purchase_orders","id"
"quotation_id","quotations","id"
"lead_id","sales_leads","id"
"assigned_to","employees","id"
"user_id","users","id"
"role_id","roles","id"
